iter	Passed	Remaining
0	142	142591
1	146	73054
2	150	49898
3	153	38274
4	157	31361
5	161	26718
6	165	23408
7	168	20923
8	172	18974
9	176	17432
10	179	16170
11	183	15113
12	187	14218
13	191	13464
14	195	12807
15	198	12224
16	202	11713
17	206	11257
18	210	10847
19	213	10478
20	217	10147
21	221	9840
22	224	9553
23	228	9298
24	232	9063
25	236	8844
26	239	8641
27	243	8437
28	246	8247
29	249	8066
30	252	7907
31	256	7749
32	259	7609
33	262	7469
34	266	7335
35	269	7216
36	272	7104
37	276	7002
38	280	6905
39	283	6811
40	287	6720
41	291	6637
42	294	6559
43	298	6477
44	300	6377
45	302	6281
46	305	6187
47	307	6088
48	308	5992
49	310	5899
50	312	5811
51	314	5724
52	315	5637
53	316	5551
54	318	5468
55	319	5389
56	321	5312
57	322	5236
58	323	5160
59	324	5086
60	325	5015
61	326	4947
62	328	4880
63	329	4819
64	331	4773
65	333	4715
66	334	4656
67	335	4591
68	336	4535
69	337	4481
70	338	4428
71	339	4376
72	340	4326
73	341	4278
74	343	4230
75	344	4184
76	345	4139
77	346	4095
78	347	4052
79	348	4011
80	349	3969
81	351	3929
82	352	3890
83	353	3852
84	354	3811
85	355	3774
86	355	3735
87	357	3700
88	358	3666
89	359	3633
90	360	3600
91	361	3567
92	362	3535
93	363	3504
94	364	3473
95	365	3443
96	366	3414
97	367	3386
98	369	3358
99	370	3330
100	371	3306
101	372	3276
102	373	3250
103	374	3225
104	375	3202
105	376	3178
106	378	3154
107	379	3131
108	380	3109
109	381	3088
110	382	3066
111	384	3049
112	385	3029
113	387	3008
114	388	2988
115	389	2966
116	390	2946
117	391	2926
118	392	2905
119	393	2886
120	394	2868
121	396	2850
122	396	2828
123	397	2810
124	398	2792
125	400	2774
126	401	2757
127	401	2738
128	403	2722
129	404	2705
130	405	2689
131	406	2674
132	407	2658
133	409	2643
134	410	2627
135	411	2612
136	412	2598
137	413	2582
138	414	2567
139	415	2553
140	416	2539
141	417	2525
142	419	2511
143	420	2496
144	421	2483
145	422	2470
146	423	2457
147	424	2444
148	425	2431
149	427	2420
150	428	2408
151	429	2396
152	430	2384
153	431	2372
154	432	2360
155	434	2348
156	435	2337
157	436	2325
158	437	2314
159	438	2303
160	439	2292
161	441	2281
162	442	2271
163	443	2260
164	444	2250
165	445	2239
166	446	2229
167	448	2219
168	449	2209
169	450	2199
170	451	2189
171	452	2179
172	453	2169
173	454	2159
174	456	2149
175	457	2140
176	458	2131
177	459	2121
178	460	2112
179	461	2104
180	462	2092
181	463	2084
182	464	2075
183	465	2066
184	467	2057
185	468	2049
186	469	2040
187	470	2032
188	471	2023
189	472	2015
190	473	2006
191	474	1998
192	476	1990
193	477	1982
194	478	1974
195	479	1966
196	480	1958
197	481	1951
198	482	1943
199	483	1935
200	485	1928
201	486	1920
202	487	1913
203	488	1906
204	489	1899
205	490	1892
206	492	1885
207	493	1878
208	494	1871
209	495	1864
210	496	1857
211	497	1850
212	498	1843
213	500	1837
214	501	1831
215	502	1824
216	503	1818
217	505	1812
218	507	1808
219	508	1802
220	509	1795
221	510	1790
222	512	1784
223	513	1778
224	514	1772
225	515	1766
226	517	1761
227	518	1754
228	519	1749
229	520	1744
230	522	1738
231	523	1733
232	524	1727
233	525	1721
234	527	1715
235	528	1709
236	529	1704
237	530	1698
238	531	1693
239	533	1688
240	534	1682
241	535	1677
242	536	1671
243	538	1668
244	540	1664
245	541	1659
246	542	1654
247	544	1649
248	545	1644
249	546	1639
250	548	1635
251	550	1633
252	551	1628
253	552	1623
254	554	1618
255	555	1613
256	556	1608
257	557	1604
258	558	1599
259	560	1594
260	561	1589
261	562	1584
262	563	1579
263	565	1577
264	567	1573
265	568	1568
266	569	1564
267	570	1559
268	572	1554
269	573	1549
270	574	1545
271	575	1540
272	576	1536
273	578	1531
274	579	1527
275	580	1523
276	582	1519
277	583	1514
278	584	1510
279	585	1506
280	586	1501
281	588	1497
282	589	1493
283	590	1489
284	591	1484
285	593	1480
286	594	1476
287	595	1472
288	597	1468
289	598	1464
290	599	1460
291	600	1456
292	601	1452
293	603	1448
294	604	1444
295	605	1440
296	606	1436
297	608	1432
298	609	1429
299	610	1425
300	612	1421
301	613	1417
302	614	1413
303	615	1409
304	616	1405
305	618	1401
306	619	1398
307	620	1394
308	621	1390
309	623	1386
310	624	1383
311	626	1380
312	627	1377
313	628	1373
314	629	1369
315	630	1365
316	632	1361
317	633	1358
318	634	1354
319	635	1350
320	636	1347
321	638	1344
322	639	1340
323	640	1337
324	641	1333
325	643	1329
326	644	1326
327	645	1323
328	647	1319
329	648	1316
330	649	1312
331	650	1309
332	651	1305
333	653	1302
334	654	1299
335	655	1295
336	656	1292
337	658	1288
338	659	1285
339	660	1282
340	661	1278
341	662	1275
342	664	1272
343	665	1268
344	666	1265
345	667	1262
346	668	1258
347	670	1255
348	671	1252
349	672	1248
350	673	1245
351	674	1242
352	675	1238
353	677	1235
354	678	1232
355	679	1228
356	680	1225
357	681	1222
358	683	1219
359	684	1216
360	685	1213
361	686	1209
362	687	1206
363	688	1203
364	689	1200
365	691	1196
366	692	1193
367	693	1190
368	694	1187
369	695	1184
370	696	1181
371	697	1178
372	699	1175
373	700	1172
374	701	1169
375	702	1166
376	703	1163
377	704	1159
378	706	1156
379	706	1153
380	708	1150
381	709	1147
382	710	1144
383	711	1141
384	712	1138
385	713	1135
386	714	1132
387	716	1129
388	717	1126
389	718	1123
390	719	1121
391	721	1118
392	722	1115
393	723	1112
394	724	1109
395	725	1106
396	726	1104
397	728	1101
398	729	1098
399	730	1095
400	731	1092
401	732	1089
402	733	1086
403	734	1084
404	735	1081
405	737	1078
406	738	1075
407	739	1072
408	740	1070
409	741	1067
410	742	1064
411	743	1061
412	745	1059
413	746	1056
414	747	1053
415	748	1050
416	749	1048
417	751	1045
418	752	1043
419	753	1041
420	755	1038
421	756	1036
422	757	1033
423	759	1031
424	760	1028
425	761	1026
426	762	1023
427	763	1020
428	764	1018
429	766	1015
430	767	1012
431	768	1010
432	769	1007
433	770	1005
434	771	1002
435	772	999
436	774	997
437	775	994
438	776	992
439	777	989
440	778	986
441	779	984
442	781	982
443	782	980
444	784	977
445	785	975
446	786	973
447	788	971
448	789	968
449	790	966
450	791	964
451	793	961
452	794	959
